Site,Value
Beijing,114
Beijing,118
Beijing,125
Beijing,130
Beijing,111
Beijing,129
Beijing,127
Beijing,129
Beijing,116
Beijing,120
Beijing,112
Beijing,81
Beijing,90
Beijing,104
Beijing,112
Beijing,97
Beijing,102
Beijing,105
Beijing,114
Beijing,121
Beijing,123
Beijing,129
Beijing,151
Beijing,160
Beijing,166
Beijing,179
Beijing,178
Beijing,196
Beijing,206
Beijing,223
Beijing,223
Beijing,168
Beijing,164
Beijing,176
Beijing,189
Beijing,182
Beijing,172
Beijing,167
Beijing,182
Beijing,192
Beijing,195
Beijing,231
Beijing,241
Beijing,284
Beijing,308
Beijing,338
Beijing,74
Beijing,43
Beijing,37
Beijing,30
Beijing,28
Beijing,27
Beijing,28
Beijing,29
Beijing,52
Beijing,62
Beijing,95
Beijing,111
Beijing,106
Beijing,90
Beijing,77
Beijing,54
Beijing,47
Beijing,37
Beijing,28
Beijing,23
Beijing,24
Beijing,21
Beijing,17
Beijing,15
Beijing,13
Beijing,16
Beijing,16
Beijing,20
Beijing,23
Beijing,25
Beijing,43
Beijing,35
Beijing,27
Beijing,18
Beijing,17
Beijing,19
Beijing,17
Beijing,18
Beijing,22
Beijing,20
Beijing,32
Beijing,25
Beijing,29
Beijing,38
Beijing,38
Beijing,39
Beijing,39
Beijing,38
Beijing,55
Beijing,60
Beijing,51
Beijing,56
Beijing,75
Beijing,120
Beijing,168
Beijing,185
Beijing,199
Beijing,196
Beijing,222
Beijing,206
Beijing,183
Beijing,177
Beijing,158
Beijing,150
Beijing,132
Beijing,115
Beijing,102
Beijing,105
Beijing,115
Beijing,122
Beijing,153
Beijing,175
Beijing,182
Beijing,195
Beijing,192
Beijing,196
Beijing,185
Beijing,187
Beijing,214
Beijing,204
Beijing,196
Beijing,215
Beijing,212
Beijing,226
Beijing,220
Beijing,211
Beijing,137
Beijing,9
Beijing,16
Beijing,11
Beijing,9
Beijing,16
Beijing,15
Beijing,19
Beijing,18
Beijing,18
Beijing,19
Beijing,13
Beijing,9
Beijing,9
Beijing,18
Beijing,23
Beijing,17
Beijing,13
Beijing,14
Beijing,26
Beijing,18
Beijing,22
Beijing,30
Beijing,14
Beijing,10
Beijing,8
Beijing,13
Beijing,10
Beijing,15
Beijing,14
Beijing,10
Beijing,21
Beijing,14
Beijing,17
Beijing,13
Beijing,16
Beijing,9
Beijing,15
Beijing,15
Beijing,18
Beijing,16
Beijing,11
Beijing,12
Beijing,8
Beijing,8
