Unnamed: 0,predict_data,mse,rmse,smooth,skip
1233,"[36.739094  50.45106    1.4298782 28.484644  40.852818  33.28054
 81.65279   54.775497  47.041992  33.007835  55.218174  56.66739  ]",441.34146,21.008128454996665,weighted6,3
1234,"[40.41872  45.959354 16.411476 30.029123 34.64463  37.21136  89.08223
 51.952675 63.13857  30.352058 47.183258 55.87152 ]",420.57413,20.50790401765294,weighted6,3
1235,"[40.8703   35.019577 27.703491 23.359535 41.407967 44.91271  78.57135
 68.32233  73.32565  30.644024 22.452164 53.181496]",458.29,21.407709091468003,weighted6,3
1236,"[50.271763 37.86407  24.007427 17.859858 47.986103 56.989952 73.02861
 73.02969  69.50676  32.728622 15.093757 45.17879 ]",447.34366,21.150500193784204,weighted6,3
1237,"[52.0564   48.57006  29.789955 22.053751 47.41334  47.753048 58.885365
 66.25515  49.664425 29.963549 25.947176 36.311478]",249.57936,15.798080926552885,weighted6,3
1238,"[56.382347 37.27578  21.2502   28.41349  55.15558  48.780727 66.42163
 69.15715  53.016808 37.69524  30.469828 52.551464]",251.03215,15.843994138744014,weighted6,3
1239,"[44.61174  42.798866 21.224192 30.764791 59.959827 46.176792 78.41884
 58.858463 54.901844 34.451317 52.561546 52.242695]",261.68658,16.176729721196935,weighted6,3
1240,"[42.451847 51.836155 14.010034 18.7051   49.395443 28.999504 74.75837
 62.425755 41.452133 40.405174 52.3068   44.567482]",447.15945,21.146145141507542,weighted6,3
1241,"[38.52493  35.333332 16.318192 33.13895  37.16733  33.851067 81.36917
 49.75574  59.098927 39.18323  55.821026 61.951046]",438.78287,20.94714461284976,weighted6,3
1242,"[39.222088 50.221878 36.568684 36.20114  27.458323 33.892315 91.78552
 41.12035  76.78163  28.928457 58.357525 66.003235]",567.55023,23.823312782516076,weighted6,3
1243,"[42.472004 42.672012 26.309395 31.186895 37.97009  34.10917  75.87106
 46.04999  79.89104  38.10326  36.64202  57.372974]",329.38986,18.14910086093928,weighted6,3
1244,"[53.692364 27.687328 35.477856 11.022283 51.652374 64.30043  65.116104
 74.51288  60.208275 37.807343 11.438533 31.846006]",502.38342,22.41391136887006,weighted6,3
1245,"[53.353546 39.171803 20.323532 19.72287  52.011227 64.631065 61.57249
 80.20811  53.829292 44.609024 26.137094 30.436968]",410.18857,20.2531125537591,weighted6,3
1246,"[55.59515  23.391975 16.590382 32.561142 54.183975 65.96314  42.849655
 67.51363  58.33745  63.733837 39.62184  36.303017]",388.42346,19.708461683095983,weighted6,3
1247,"[39.807777 21.451033 24.921339 49.460045 40.774338 55.81919  59.013947
 53.245373 60.178276 61.038025 70.59318  50.155815]",335.47647,18.31601678715287,weighted6,3
1248,"[51.809372 32.810757 32.389305 49.58174  25.026596 44.691452 80.659996
 57.380444 50.582054 46.939655 55.661137 47.417896]",440.21362,20.9812683850828,weighted6,3
1249,"[56.393436 36.794434 32.860146 31.400715 21.61512  35.74585  71.765045
 70.675835 48.024303 38.57848  29.918371 33.3102  ]",587.44806,24.237327804071786,weighted6,3
1250,"[ 60.53685   51.328407  38.52644   26.479124  15.883064  25.62309
  58.284397 100.34625   39.112087  47.519844  26.234142  27.961283]",676.92395,26.017762205756902,weighted6,3
1251,"[67.81446  40.837055 21.170452 35.051254 28.581823 33.817463 53.2556
 96.42459  58.14501  60.8099   19.686531 31.432865]",585.4796,24.19668601808546,weighted6,3
1252,"[44.206924 27.71472  15.847984 46.585888 58.980785 70.33771  53.540573
 73.454414 48.49319  64.04329  33.72961  33.327095]",552.79034,23.51149387508759,weighted6,3
1253,"[45.714962 19.23991  13.692854 44.143703 51.53459  76.80341  57.180984
 80.090164 28.66736  60.702744 54.46024  20.503567]",695.78345,26.37770739214508,weighted6,3
1254,"[41.129185 23.119596 47.217434 40.846085 56.151215 73.587524 39.937016
 79.45205  26.427782 68.79536  52.955795 21.133942]",622.83405,24.956643312155503,weighted6,3
1255,"[25.40265  21.175825 59.014732 38.882915 45.93055  44.232037 21.266521
 73.71206  18.823357 64.20163  59.185326 37.539665]",393.3956,19.83420276606132,weighted6,3
1256,"[32.583736  33.38883   62.442425  48.837727  24.11899    5.9636674
 57.02664   45.13095   30.986492  56.7427    83.02423   57.293663 ]",474.23312,21.77689426385904,weighted6,3
1257,"[26.27207   44.90463   55.73322   41.651802  25.482227  -3.7273436
 63.71879   47.79549   24.59715   54.56396   76.37127   61.682003 ]",577.907,24.039695971910188,weighted6,3
1258,"[27.269762 28.867168 40.39874  37.60454  27.99651   6.50507  66.42268
 44.204533 30.158577 47.5142   56.05127  58.860348]",398.48697,19.96213838731063,weighted6,3
1259,"[31.5902   30.749907 47.72334  36.640305 31.362333 28.81412  78.34381
 50.35631  53.995174 37.05945  32.166313 52.934414]",439.89944,20.973779930667675,weighted6,3
1260,"[42.676792 21.162304 36.466084 27.393736 35.56381  42.165825 64.537575
 56.508114 62.45326  38.791008 21.89942  35.96968 ]",403.87473,20.09663467702483,weighted6,3
1261,"[46.148323 28.700563 33.15805  20.021315 40.706245 53.343166 53.240036
 64.692116 47.965244 36.789154 24.637777 19.832077]",366.73608,19.150354669936924,weighted6,3
1262,"[51.674126 35.04684  28.116013 20.959614 40.796726 49.018204 42.58038
 71.6668   39.988945 43.21881  38.77214  22.216146]",338.97745,18.411340187769213,weighted6,3
1263,"[44.7116   39.027447 23.84184  33.9788   38.13525  36.93777  42.185284
 63.108707 41.211887 51.877647 54.71055  33.636745]",208.71754,14.44706006617485,weighted6,3
1264,"[36.203445 34.7613   22.387918 41.52193  30.0177   24.107573 58.64836
 55.450573 38.784805 55.84582  67.88476  42.39905 ]",205.02728,14.318773785308704,weighted6,3
1265,"[36.20226  37.125473 26.963533 40.573845 17.660408 17.564947 75.984985
 53.218716 36.36273  45.080452 62.601444 42.415424]",254.7737,15.961632024934485,weighted6,3
1266,"[35.35924  35.809116 29.665257 34.38346  17.0499   17.743843 68.99795
 54.468445 47.698185 38.407658 46.241127 43.42278 ]",200.33983,14.15414527589748,weighted6,3
1267,"[47.336655 29.051077 34.449932 26.679607 25.719059 33.796593 56.899742
 65.02696  62.55874  47.78597  23.711618 37.52945 ]",250.40678,15.824246713749668,weighted6,3
1268,"[41.834763 30.479979 29.486195 28.618755 35.02674  45.823593 58.673347
 58.479088 70.228714 50.012608 22.931845 29.934183]",258.77963,16.086628999525022,weighted6,3
1269,"[50.94274  23.459673 22.892723 31.626162 30.959095 54.37285  58.704174
 62.93167  54.14193  49.953857 36.21506  14.863081]",273.5612,16.539685237154323,weighted6,3
1270,"[59.41243  16.713163 29.973207 33.085022 46.350727 81.400696 47.573288
 59.653866 51.634666 54.833923 42.675163 18.926867]",525.356,22.92064610927027,weighted6,3
1271,"[40.0712   25.42041  47.97895  24.294369 60.019142 69.88597  19.227772
 58.435787 34.25628  47.97355  46.715725 19.982183]",423.16898,20.57107133403796,weighted6,3
1272,"[51.100975  37.648453  48.15806   30.555098  21.749294   3.9400015
 32.186184  51.750362  37.458427  54.168324  70.55751   30.42473  ]",425.28177,20.62236089294405,weighted6,3
1273,"[62.076492 33.458088 47.504204 51.262676 37.725365 19.64338  47.387947
 20.763523 62.37625  73.615005 83.31312  63.917656]",1020.2983,31.94210823988601,weighted6,3
1274,"[31.77623  28.982235 41.468117 64.11161  55.04589  62.54642  47.20116
 10.883144 36.921745 71.05912  83.95916  60.89033 ]",1052.4698,32.44179169886911,weighted6,3
1275,"[37.695137 28.367271 45.52601  62.43455  23.897116 43.021988 48.25554
 27.886883 25.55461  59.904934 71.71689  32.94043 ]",603.52814,24.56680966684586,weighted6,3
1276,"[54.64143  16.860868 67.912056 56.578754 26.15914  45.351715 26.92474
 63.486984 52.721516 77.03377  38.255936 24.905886]",881.5765,29.69135357390736,weighted6,3
1277,"[54.03348  22.758064 75.00689  52.686153 26.97996  51.78148  13.912445
 58.527557 53.543087 77.71436  57.30192  23.51464 ]",964.0017,31.048376913848088,weighted6,3
1278,"[52.511166 50.29032  70.574326 49.538055 25.549507 44.72516  38.54531
 50.793785 51.98688  78.952065 76.457634 33.68853 ]",927.8455,30.460556791029465,weighted6,3
1279,"[52.186226 40.673237 75.53057  47.01656  24.680305 55.269875 46.50656
 62.421776 48.24599  76.907425 75.30911  32.38123 ]",821.02466,28.65352784916937,weighted6,3
1280,"[33.93707  58.769966 61.598927 50.295273 27.210573 33.426453 54.91995
 62.424717 36.89162  66.04697  84.272316 38.108818]",567.2432,23.81686849897896,weighted6,3
1281,"[46.678226 47.3265   47.730526 35.780342 24.622328 25.908274 41.150295
 56.688755 31.214226 64.34434  83.895515 37.895813]",413.90686,20.344701038638107,weighted6,3
1282,"[37.20098  46.053833 60.61587  44.1388   34.36024  36.849804 48.994736
 41.603558 52.706085 65.68158  92.05573  65.446144]",677.945,26.0373771206744,weighted6,3
1283,"[39.595104 49.72795  60.380577 52.20243  32.574036 32.225353 61.92898
 25.504763 53.15209  51.658394 75.61054  66.403824]",630.6506,25.112757190927255,weighted6,3
1284,"[45.49543  42.10745  47.808315 41.03659  31.414675 35.000885 69.63578
 31.331034 59.3195   49.59619  58.175335 56.84328 ]",507.3934,22.52539460474798,weighted6,3
1285,"[52.266273 55.219387 54.44812  29.153778 38.284645 47.290634 50.29996
 46.483147 59.68729  55.25319  54.503845 46.03182 ]",532.7443,23.081254812736432,weighted6,3
1286,"[52.355614 48.58039  54.539764 31.939945 42.258472 56.965733 41.57519
 45.791683 68.87821  60.87041  53.451603 41.917854]",597.12225,24.436085067333693,weighted6,3
1287,"[43.7844   51.70639  49.54211  34.99462  38.0511   55.855244 52.714176
 44.1962   70.55445  61.738163 62.08573  41.204567]",588.44183,24.257820048308005,weighted6,3
1288,"[39.115456 55.967686 45.633568 32.9614   34.417812 47.44152  58.645073
 38.91488  67.39016  58.411827 70.147255 40.45999 ]",534.4788,23.11879799645261,weighted6,3
