Unnamed: 0,predict_data,mse,rmse,smooth,skip
10132,"[60.599915 65.54901  33.425716 55.807896 45.786835 37.806072 59.308765
 44.960373 51.082706 33.57433  59.004364 60.733612]",420.9929,20.51811125333657,rolling3,2
10133,"[50.58586  66.7267   36.890022 45.476738 46.14659  42.014122 75.84652
 44.709747 51.11519  50.772118 38.96931  60.96422 ]",501.26526,22.388953945842637,rolling3,2
10134,"[61.59111  45.040733 34.58432  39.321056 38.883465 47.315845 70.204285
 40.6883   49.384823 36.912594 34.323875 50.823   ]",340.28244,18.446746059550637,rolling3,2
10135,"[65.25316  39.821697 33.4906   54.26634  44.59635  73.64087  58.69048
 42.53195  39.02797  54.7008   40.939415 44.649513]",496.08615,22.27299151715025,rolling3,2
10136,"[59.221333 39.591507 35.645897 72.37481  42.664913 75.029594 39.25669
 59.333836 28.32947  68.79883  48.017353 64.70216 ]",710.96515,26.66392973523935,rolling3,2
10137,"[52.30599  26.234055 70.38009  60.172848 35.338894 67.92705  39.371197
 36.458748 41.31086  72.20279  40.14996  45.72951 ]",516.95447,22.736632727240803,rolling3,2
10138,"[39.118263 38.384357 67.14725  68.88334  46.22829  83.16066  37.59639
 47.191593 43.39471  59.388973 41.925358 50.27705 ]",532.53796,23.07678408849872,rolling3,2
10139,"[39.401875 57.144016 75.16708  66.53163  55.42204  58.763527 59.98713
 71.44335  61.585945 45.807297 69.27132  59.92682 ]",697.0733,26.40214580716227,rolling3,2
10140,"[42.41509  60.73506  85.64315  72.00493  57.22069  56.654182 55.69535
 71.66921  51.48755  28.551413 80.3186   59.080738]",793.726,28.1731434735919,rolling3,2
10141,"[41.21214  77.45498  52.35574  65.400085 53.773865 45.22843  66.60969
 68.54509  58.91314  33.58274  56.831585 65.424194]",532.9106,23.08485615064763,rolling3,2
10142,"[37.107803 74.33611  58.779194 75.96487  44.989185 33.6508   63.337254
 54.980755 63.7857   22.85162  42.1112   54.814262]",458.7964,21.419532831477675,rolling3,2
10143,"[48.120987 59.257915 26.064108 64.31995  57.674465 44.074715 49.97172
 52.32207  51.694176 21.86742  51.8725   49.11071 ]",278.39664,16.6852221130823,rolling3,2
10144,"[59.83371  72.31224  31.383852 62.730278 49.693626 54.19783  57.74164
 59.69438  53.16479  36.339127 50.452194 44.182266]",434.76535,20.851027560813325,rolling3,2
10145,"[67.47445  64.286766 37.272    34.03283  46.046875 44.3093   73.64026
 47.359222 58.25268  41.800068 51.156845 46.803143]",470.8562,21.69922121118348,rolling3,2
10146,"[62.98771  48.52254  31.97119  26.49684  45.852062 49.66555  67.58375
 44.929905 55.02175  42.34121  28.795738 42.946224]",328.72003,18.130637929711167,rolling3,2
10147,"[61.321777 40.00633  33.617332 39.412712 45.4065   50.41896  62.960926
 66.81008  46.34497  34.817513 33.6878   38.053772]",334.09573,18.278285850773266,rolling3,2
10148,"[52.0122   38.811913 47.009853 61.653763 48.715492 77.61265  47.068127
 75.217255 32.074005 46.487022 32.669315 35.315823]",486.4972,22.05668135470095,rolling3,2
10149,"[45.82068  52.99579  40.050945 79.15637  50.51054  94.118454 33.758244
 88.65014  21.839975 50.627567 39.16654  50.767338]",733.06866,27.075240803191043,rolling3,2
10150,"[52.170727 50.109196 39.381035 78.52334  53.516487 82.20496  43.14422
 84.7183   35.88205  42.822258 53.286873 60.41502 ]",505.293,22.47872325706196,rolling3,2
10151,"[51.71316  53.853214 41.02462  91.149925 47.245125 88.49184  35.685772
 82.996956 35.373997 34.618637 59.562218 57.29398 ]",585.4882,24.1968638508143,rolling3,2
10152,"[44.806664 72.3367   48.971626 92.42725  44.258087 95.53597  41.753895
 77.097755 46.962624 36.20359  50.41552  52.31388 ]",615.27594,24.80475639754211,rolling3,2
10153,"[49.856884 76.62277  57.826626 74.81748  42.774853 85.69207  44.413326
 66.74988  59.786625 25.26042  50.95289  46.703224]",452.50903,21.2722597107859,rolling3,2
10154,"[54.286728 76.91171  57.57917  45.115948 60.231556 61.6546   67.93234
 59.895706 79.26376  18.208506 43.741306 39.43745 ]",362.76108,19.04628777165932,rolling3,2
10155,"[56.49729  85.72859  64.959724 45.701206 51.998867 45.092823 74.389
 67.96654  80.506676 10.239629 41.47217  32.57078 ]",517.8144,22.75553541646172,rolling3,2
10156,"[61.354836 68.69412  55.248356 34.384903 50.7218   43.684666 59.542965
 77.70287  64.197815  9.66204  52.57263  25.378183]",410.06686,20.25010775313731,rolling3,2
10157,"[69.819855 60.99866  46.559883 36.442944 56.14978  63.268738 55.089195
 73.51812  47.200916 13.443287 39.797016 20.070875]",366.8566,19.15350093064948,rolling3,2
10158,"[68.12133  64.2953   43.196587 47.46928  54.145298 59.123055 60.623898
 79.75946  49.114273 20.031883 36.766773 22.16261 ]",506.7275,22.510608799961894,rolling3,2
10159,"[60.393288 54.69448  53.973656 71.56479  54.249424 65.954384 54.348328
 94.78935  37.105927 16.629004 41.703888 26.725298]",800.7557,28.2976266896984,rolling3,2
10160,"[ 43.439293  60.17002   50.63636   95.446945  54.46885   88.48083
  33.557728 103.0707    27.40518   35.64791   47.298943  51.032345]",1216.8534,34.88342577148477,rolling3,2
10161,"[ 42.80144   62.91549   50.26103   90.52932   44.995747  87.54701
  31.819187 100.77201   30.686901  36.283215  49.83227   57.05602 ]",1053.6154,32.45944171493577,rolling3,2
10162,"[56.200665 55.116093 39.483906 78.18736  50.19832  83.45965  46.691936
 84.11174  39.44849  24.307756 53.95902  54.729115]",654.2812,25.578920793591816,rolling3,2
10163,"[54.634865 65.38619  37.329903 90.8162   43.136955 95.09011  41.64272
 92.338066 37.156532 22.634407 55.99369  45.268417]",835.45703,28.9042735810814,rolling3,2
10164,"[51.975525 70.08318  56.173252 89.32585  41.721233 95.00207  45.005833
 83.34933  50.222195 22.58781  52.527634 38.148365]",714.85693,26.73680859028897,rolling3,2
10165,"[59.972893 76.19398  56.226135 74.48689  40.32493  89.743645 49.78702
 65.730415 61.690582 18.141586 40.310528 32.550232]",527.6013,22.96957375223526,rolling3,2
10166,"[59.62638  77.43614  57.50023  69.143555 48.30256  67.33696  69.74757
 73.61494  76.24563   9.62518  37.006634 26.400719]",555.1069,23.560706113327623,rolling3,2
10167,"[54.838776 77.162155 68.67313  67.8827   43.880863 56.278786 63.307972
 74.20782  80.93473   5.314536 31.327162 21.756737]",579.2399,24.06740387327264,rolling3,2
10168,"[59.199165 72.974754 60.84042  69.46797  54.630047 67.8669   38.698357
 73.2183   70.698    10.282725 36.900143 18.321869]",456.89865,21.37518774474383,rolling3,2
