,timestamp,value,
646,187111,195.2,
647,187112,187.8769231,
648,187201,181.4153846,
649,187202,185.5,
650,187203,180.7692308,
651,187204,175.5153846,
652,187205,168.4846154,
653,187206,163.9230769,
654,187207,165.7,
655,187208,164.4076923,
656,187209,164.9769231,
657,187210,167.8461538,
658,187211,170.7923077,
659,187212,168.0384615,
660,187301,167.5615385,
661,187302,171.0769231,
662,187303,168.2846154,
663,187304,166.7153846,
664,187305,159.7615385,
665,187306,151.7076923,
666,187307,146.2,
667,187308,141.4153846,
668,187309,135.5461538,
669,187310,126.8923077,
670,187311,120.8384615,
671,187312,112.7769231,
672,187401,109.8153846,
673,187402,106.9307692,
674,187403,99.16923077,
675,187404,90.66923077,
676,187405,86.63076923,
677,187406,85.38461538,
678,187407,88.33846154,
679,187408,87.61538462,
680,187409,82.46153846,
681,187410,80.82307692,
682,187411,78.48461538,
683,187412,75.12307692,
684,187501,70.69230769,
685,187502,65.65384615,
686,187503,61.75384615,
687,187504,59.53076923,
688,187505,56.89230769,
689,187506,54.22307692,
690,187507,50.92307692,
691,187508,44.09230769,
692,187509,36.53076923,
693,187510,34.56923077,
694,187511,32.43076923,
695,187512,29.99230769,
696,187601,28.07692308,
697,187602,28.13076923,
698,187603,29.3,
699,187604,25.26153846,
700,187605,22.17692308,
701,187606,20.90769231,
702,187607,19.8,
703,187608,19.33076923,
704,187609,18.73076923,
705,187610,20.26153846,
706,187611,19.9,
707,187612,18.66923077,
708,187701,20.52307692,
709,187702,19.8,
710,187703,19.4,
711,187704,17.49230769,
712,187705,19.96923077,
713,187706,21.13076923,
714,187707,21.69230769,
715,187708,20.53846154,
716,187709,21.56153846,
717,187710,21.14615385,
718,187711,21.12307692,
719,187712,20.11538462,
720,187801,19.49230769,
721,187802,17.21538462,
722,187803,17.10769231,
723,187804,15.59230769,
724,187805,14.33076923,
725,187806,12.37692308,
726,187807,10.57692308,
727,187808,9.807692308,
728,187809,9.676923077,
729,187810,7.661538462,
730,187811,7.323076923,
731,187812,5.576923077,
732,187901,5.430769231,
733,187902,5.076923077,
734,187903,4.230769231,
735,187904,4.023076923,
736,187905,4.315384615,
737,187906,4.169230769,
738,187907,4.315384615,
739,187908,5.676923077,
740,187909,6.453846154,
741,187910,7.346153846,
742,187911,8.884615385,
743,187912,9.3,
744,188001,12.31538462,
745,188002,15.68461538,
746,188003,18.08461538,
747,188004,20.57692308,
748,188005,22.78461538,
749,188006,26.85384615,
750,188007,29.04615385,
751,188008,34.25384615,
752,188009,41.34615385,
753,188010,46.08461538,
754,188011,48.44615385,
755,188012,50.56153846,
756,188101,54.28461538,
757,188102,58.01538462,
758,188103,61.12307692,
